id,Name,Age,Height,Weight,Crime,Banana consumption
1,Glyn Vizor,13,164.0,46.4,1016,77.7
2,Kynthia Cockney,32,169.7,38.1,922,78.79
3,Monro Cristobal,24,156.5,36.600000000000001,863,81.8000000000000005
4,Betti Gridley,26,159.5,40.8,742,71.3
5,Nollie Jouannin,26,160.6,45.0,666,82.42
6,Ed Prattington,25,162.4,43.3,457,75.63
7,Stuart Cortnay,45,157.4,38.2,1043,100.08
8,Brinna Ladewig,40,167.9,32.3,825,89.73
9,Althea Measor,37,175.5,41.6,818,87.7
10,Mella Crennan,12,161.5,54.6,984,67.1
11,Horatius Feehely,15,162.9,45.0,1259,73.18
12,Theobald Betts,33,179.4,48.9,943,95.13
13,Winthrop Anthes,43,163.1,33.1,1287,95.87
14,Franz Hinge,30,158.5,35.5,1284,75.95
15,Wiatt Caltera,24,161.8,42.100000000000001,770,79.0100000000000005
16,Corbett Dash,33,170.5,27.7,768,85.05
17,Sal Bullon,29,156.4,45.700000000000001,1064,78.9300000000000005
18,Rachelle Cullerne,41,173.5,41.0,937,109.0
19,Trudey Mutlow,43,162.3,31.8,1368,86.36
20,Neall Pawden,27,160.8,42.3,751,69.61
21,Diego Caunt,36,171.8,34.2,935,93.76
22,Dacy Mularkey,30,159.1,42.6,1062,82.02
23,Dannie Yabsley,27,158.4,39.7,1004,73.93
24,Mollie Brearton,20,170.6,48.3,1032,81.17
25,Cirillo Jolliman,43,176.5,42.5,702,106.05
26,Mallory Walthall,28,163.7,37.5,1235,81.09
27,Ursuline Dutteridge,42,157.0,46.1,1099,105.45
28,Sapphire Bubbings,31,156.1,39.300000000000001,1016,78.5700000000000005
29,Rawley Farlow,32,163.0,39.2,797,81.2
30,Brietta Binton,15,159.8,42.6,1210,75.56
31,Pierre Croux,23,171.7,41.700000000000001,1004,74.6900000000000005
32,Heather McLucky,26,161.1,36.5,817,77.17
33,Carri Hollingsby,21,151.7,51.5,885,74.09
34,Basilio Gore,9,164.7,50.6,939,70.54
35,Oralle Cordle,27,161.2,37.4,1060,78.54
36,Hogan Camerello,23,159.8,48.900000000000001,1290,82.9100000000000005
37,Paola Hollier,15,167.5,41.7,864,61.15
38,Regan Ivanchov,24,175.3,54.900000000000001,977,90.8100000000000005
39,Amber Knibb,15,162.2,44.1,963,76.89
40,Lucas Stoltz,37,171.0,37.9,1177,94.65
41,Cara Ianno,25,163.6,48.0,991,80.12
42,Jedidiah Ashpole,22,172.5,50.2,926,92.8
43,Judy Neller,28,169.4,41.9,979,82.13
44,Nester Varley,35,166.8,43.8,757,78.56
45,Elberta Angerstein,40,176.1,35.1,1005,88.17
46,Aryn Lukianov,17,155.8,42.8,949,64.36
47,Morgen Willoughway,25,170.8,48.2,1098,85.86
48,Junette Kensall,24,170.2,43.700000000000001,937,73.0900000000000005
49,Haleigh Glason,35,160.2,39.3,1345,86.09
50,Clarissa Colbert,21,166.9,38.9,1110,80.53
51,Enrico Cristoforetti,32,158.6,42.5,1107,79.87
52,Fabio Hustler,17,165.2,38.6,1185,78.64
53,Meier Sivewright,32,163.9,37.2,677,81.48
54,Kyla Ibert,39,173.5,41.3,1393,96.95
55,Arlyn Wainscot,50,170.1,36.0,954,112.72
56,Uriah Karpfen,32,172.2,45.8,1190,78.04
57,Martita Scherme,14,156.1,39.0,863,74.52
58,Efrem Tudhope,41,188.3,41.8,1071,101.46
59,Katerina Bartoszewski,32,155.1,32.4,912,75.62
60,Felicity Watkin,32,167.8,40.9,1086,74.61
61,Rayna Christoffels,45,170.8,44.6,694,98.76
